longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,distance_to_coast,distance_to_la,distance_to_sandiego,distance_to_sanjose,distance_to_sanfrancisco,median_house_value
-121.48,38.58,42.0,1823.0,566.0,761.0,503.0,1.245,56605.7751792111,580889.416012377,759695.004208173,143043.151608065,122257.998577921,1
-118.16,33.96,24.0,1635.0,507.0,2480.0,481.0,2.4432,23275.6815737484,12833.1072729544,166591.203012852,504538.443854417,572564.27048097,2
-116.41,33.74,17.0,4289.0,893.0,958.0,440.0,2.4659,109783.652563488,172765.858403536,133611.248885992,636951.3803081,704278.553943637,2
-118.28,33.92,39.0,1274.0,282.0,975.0,277.0,1.5114,12482.0644270261,15080.2999325923,169527.675887031,500778.155642898,568764.984549428,0
-118.2,33.96,41.0,1512.0,400.0,1690.0,367.0,3.055,21094.9386096637,11018.1890015847,168689.069801415,502131.598804816,570150.638590242,2
-118.06,34.04,28.0,1516.0,363.0,1011.0,344.0,2.6288,33517.7123296091,16978.169998636,169260.606847474,503999.784650384,572033.0734577,2
-121.09,38.03,21.0,2064.0,342.0,1021.0,359.0,4.517,38232.4368837807,510936.900647341,689810.99537805,104678.710286565,121078.340509894,1
-118.32,34.1,28.0,1759.0,716.0,1463.0,620.0,1.7306,19458.458708872,8809.95546381752,187784.165773829,483118.787732177,551142.490725657,4
-121.28,38.74,33.0,4384.0,778.0,1775.0,789.0,4.05,78925.7677166798,587748.938608311,765909.1007608,165144.548966586,147115.697541312,1
-118.37,34.08,52.0,1234.0,223.0,543.0,213.0,6.0338,14351.0187034458,12038.0585707851,188695.742411463,481813.506195624,549822.112250218,4
-117.98,34.13,37.0,1447.0,309.0,1279.0,290.0,4.0083,45394.1128090055,25775.1871730716,174658.919027733,501692.03094208,569696.242257088,1
-121.82,39.73,33.0,2242.0,517.0,1160.0,449.0,1.7426,168497.446673795,706758.288113551,884521.317809448,266334.20500953,223865.223247432,0
-117.66,34.14,8.0,1692.0,253.0,857.0,251.0,6.9418,60528.8569913037,54624.4656181904,164999.246205298,521635.291456689,589503.00531095,4
-118.22,34.05,41.0,1422.0,478.0,1640.0,434.0,1.6122,26621.3169077489,2196.00506791643,177981.078041068,493358.184474357,561388.405971667,1
-118.3,33.86,35.0,1511.0,274.0,853.0,308.0,4.9792,8586.42959479627,21997.6044286656,165514.321543756,504768.371424352,572724.239517187,3
-117.03,32.73,34.0,2061.0,,1169.0,400.0,3.5096,13483.7108832354,185234.037803097,12365.0393257383,676758.097909226,744763.112995278,1
-122.17,37.76,40.0,1685.0,343.0,949.0,342.0,1.8426,5545.59229413325,543047.695372143,721920.829726395,53145.9440105824,23020.6100713224,0
-115.57,32.85,33.0,1365.0,269.0,825.0,250.0,3.2396,25645.2559775288,281768.071378947,149488.266248005,761041.406681388,828627.242101403,0
-118.04,34.06,39.0,1258.0,245.0,988.0,228.0,3.2132,36188.0959357904,18783.9091979981,170296.679192044,503601.183159592,571630.843415058,2
-122.28,37.91,48.0,2083.0,298.0,685.0,286.0,7.3089,4920.69711674382,561932.599815585,740882.719075291,72406.023049584,20131.8372186539,4
-122.49,38.22,33.0,1486.0,290.0,781.0,274.0,3.5647,11883.9136213711,599996.47805309,779095.823600497,111472.448719291,49862.0889211581,3
-117.17,34.51,15.0,5151.0,942.0,2896.0,897.0,3.4875,121242.931603737,111005.558083668,199514.760769596,528632.917622086,595580.618880682,0
-118.4,34.08,52.0,3815.0,439.0,1266.0,413.0,15.0001,12009.3118722518,14726.0853875545,190365.069925831,480031.103777701,548031.338028637,4
-118.08,33.76,25.0,1995.0,637.0,743.0,597.0,1.4617,4206.99736348288,35834.4847660511,144174.96011174,526268.41813053,594267.372173749,0
-119.52,34.4,20.0,1834.0,477.0,1305.0,417.0,3.2125,8144.26220943547,123549.246682772,287823.047058789,390179.269831578,457310.889955386,3
-117.03,33.18,17.0,5391.0,886.0,2732.0,830.0,5.1771,28325.9066754188,148447.427053479,53053.1177704761,638922.913591312,706947.286441087,3
-118.43,34.28,30.0,1384.0,308.0,2054.0,301.0,3.0132,30032.1944078482,30582.132768196,209991.793324645,461396.132924004,529429.472661333,1
-122.31,38.27,34.0,1748.0,284.0,783.0,303.0,4.3585,15099.1525265121,594173.175558471,773468.191486033,110182.041447182,56169.8737082373,2
-121.49,38.5,32.0,2364.0,439.0,1331.0,449.0,3.319,47756.9370939707,573728.980553236,752649.563299671,134227.831540709,115301.720357559,0
-117.9,34.01,27.0,1702.0,381.0,2091.0,352.0,3.7917,36085.014824442,32017.0170000452,159437.645155204,516451.758433419,584468.636962186,1
-117.98,33.87,29.0,1310.0,332.0,937.0,294.0,3.8068,18880.6630587205,31654.5477574912,149218.447989434,523004.208882275,591038.217979113,2
-119.7,34.43,52.0,977.0,289.0,412.0,272.0,2.125,3584.19539345733,140301.975703896,302738.948826086,378668.474486062,445449.515564957,4
